, Ensemble ," Industrie manufacturière, industries extractives et autres ", Industrie manufacturière , Construction ," Commerce, transports, hébergement et restauration ", Commerce , Transport , Hébergement et restauration , Information et communication , Activités financières et d'assurance , Activités immobilières ," Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien "," Administration publique, enseignement, santé humaine et action sociale ", Autres activités de services ,Date
180,23769,1157,754,3045,7681,5274,699,1708,847,1230,939,4198,2926,1747,2015-01
181,22713,1101,712,2667,7501,5066,736,1699,857,1335,908,4088,2711,1546,2015-02
182,22449,993,612,2658,7238,4986,752,1500,852,1346,907,4033,2826,1598,2015-03
183,24090,1129,731,2780,8085,5568,782,1735,942,1411,1020,4062,2961,1700,2015-04
184,24136,1060,692,2920,8161,5725,828,1607,904,1435,1010,4018,2993,1635,2015-05
185,23590,1079,680,2851,7911,5416,862,1632,869,1366,996,3993,2956,1569,2015-06
186,23980,1025,723,2865,8051,5581,806,1664,886,1374,998,4003,3102,1677,2015-07
187,24922,1278,794,3040,8449,5700,1006,1743,860,1362,1035,4106,3092,1700,2015-08
188,24863,1011,671,2967,8602,5869,997,1736,930,1457,1008,4260,3011,1618,2015-09
189,24779,1036,687,2769,8801,6114,985,1702,907,1357,1007,4176,3091,1635,2015-10
190,24458,909,664,2856,8615,5863,1059,1694,932,1355,1026,4205,2919,1641,2015-11
191,25365,1013,682,2813,9035,6166,1125,1745,963,1363,1054,4418,3085,1622,2015-12
192,26150,1078,756,2893,9540,6571,1087,1882,1003,1348,1041,4429,3072,1746,2016-01
193,27379,954,699,2732,11162,8363,1060,1739,984,1363,1065,4469,3028,1623,2016-02
194,25905,972,700,2897,9996,7133,1081,1782,963,1369,1048,4164,2850,1646,2016-03
195,25801,932,672,2877,9642,6688,1162,1792,1030,1355,1029,4293,3041,1603,2016-04
196,25978,990,737,2832,9631,6826,1066,1738,1028,1353,1082,4393,2957,1712,2016-05
197,26031,973,712,2872,9501,6662,1081,1759,1059,1388,1065,4389,3040,1744,2016-06
198,25943,961,658,2826,9470,6580,1125,1765,1027,1303,1122,4513,3034,1687,2016-07
199,25111,976,684,2863,8837,6058,1004,1776,1064,1292,1068,4472,2868,1672,2016-08
200,25943,974,693,2827,9253,6379,1125,1748,1021,1381,1158,4700,2937,1694,2016-09
201,25827,968,653,2903,9272,6383,1115,1775,979,1416,1107,4617,2939,1626,2016-10
202,27086,1051,743,3007,9827,6972,1058,1796,1019,1348,1142,4572,3153,1969,2016-11
203,27777,1217,862,3279,10240,7149,1239,1853,1043,1362,1164,4722,2937,1813,2016-12
204,28169,1039,771,2961,11002,8022,1109,1871,1021,1429,1214,4617,3103,1784,2017-01
205,27839,1089,733,3029,10423,7471,1102,1850,1063,1455,1180,4660,3116,1824,2017-02
206,27551,1027,729,3045,10142,7170,1065,1907,1073,1492,1250,4681,3012,1830,2017-03
207,27720,1015,735,3110,10219,7334,1010,1875,1056,1452,1201,4826,3000,1841,2017-04
208,27197,987,712,3070,10049,7243,1001,1805,1045,1310,1154,4878,2910,1794,2017-05
209,28148,1016,751,3108,10301,7426,996,1879,1138,1441,1239,5064,3049,1791,2017-06
210,28340,1060,768,3156,10254,7355,1003,1897,1193,1486,1322,4965,3006,1897,2017-07
211,28694,1051,755,3189,10596,7747,971,1879,1084,1539,1278,5087,3013,1857,2017-08
212,28312,1100,771,3003,10653,7789,950,1915,1144,1497,1168,4999,2946,1802,2017-09
213,29414,1059,747,3167,10945,7946,1076,1923,1208,1539,1249,5386,2972,1889,2017-10
214,31233,1217,986,3547,11288,8004,1173,2110,1212,1658,1440,5302,3281,2288,2017-11
215,28823,1069,746,3133,10663,7693,1151,1819,1096,1542,1268,5015,3059,1977,2017-12
216,28227,1054,733,2952,10176,7276,1153,1747,1165,1473,1256,5193,2986,1973,2018-01
217,28730,1051,787,3142,10449,7436,1228,1785,1153,1442,1271,5035,3192,1997,2018-02
218,28811,1055,791,3128,10524,7570,1241,1714,1153,1432,1259,5229,3030,2002,2018-03
219,29204,1054,790,3182,10823,7725,1338,1761,1120,1484,1297,5152,3104,1990,2018-04
220,28788,1032,776,3061,10741,7622,1404,1715,1065,1445,1205,5078,3226,1934,2018-05
221,30303,1083,800,3384,11293,8058,1506,1729,1145,1567,1402,5252,3162,2015,2018-06
222,29311,1072,806,3317,11142,7977,1438,1728,1156,1581,1344,5240,2462,1997,2018-07
223,29779,1034,836,3265,11021,7965,1354,1701,1168,1632,1375,5543,2813,1929,2018-08
224,29672,1049,792,3304,10820,7821,1334,1665,1122,1601,1383,5325,2996,2072,2018-09
225,29707,1069,794,3311,10811,7657,1455,1699,1155,1630,1433,5249,3034,2015,2018-10
226,28710,953,681,3235,10643,7342,1457,1845,1088,1600,1368,4911,2922,1990,2018-11
227,29361,1008,750,3223,10526,7333,1346,1846,1097,1638,1366,5527,3063,1915,2018-12
228,31166,1112,831,3474,11877,8458,1559,1861,1133,1691,1386,5370,3236,1887,2019-01
229,30563,1088,821,3477,11207,7652,1610,1945,1113,1685,1463,5644,2991,1896,2019-02
230,31302,1185,856,3396,11688,7968,1774,1946,1153,1703,1525,5417,3248,1988,2019-03
231,29975,1144,872,3375,11192,7694,1563,1935,1148,1583,1471,5092,3074,1896,2019-04
232,32523,1239,958,3626,11566,7890,1635,2040,1199,1801,1566,5930,3489,2110,2019-05
233,29264,1180,867,3469,10414,7204,1513,1697,1093,1590,1440,5248,2980,1850,2019-06
234,30484,1180,873,3615,10466,7180,1444,1841,1163,1844,1600,5729,3069,1817,2019-07
235,30535,1198,873,3506,10596,7302,1433,1862,1186,1825,1591,5434,3335,1862,2019-08
236,30549,1315,919,3573,10590,7320,1418,1852,1247,1932,1563,5519,2987,1824,2019-09
237,30253,1261,901,3556,10458,7066,1471,1920,1223,1876,1631,5489,2919,1841,2019-10
238,30903,1241,897,3620,10333,7120,1356,1858,1376,2183,1726,5711,2885,1830,2019-11
239,29732,1186,870,3503,9706,6546,1273,1887,1278,1943,1717,5464,3169,1766,2019-12
240,30147,1121,853,3561,10304,6923,1350,2030,1242,1947,1727,5453,2954,1839,2020-01
241,30840,1233,886,3663,10522,7165,1319,2037,1332,2040,1801,5470,2952,1828,2020-02
242,22638,821,635,2228,7296,4991,906,1399,1059,1595,1228,4727,2338,1345,2020-03
243,14795,403,324,1072,5533,4631,326,575,767,1100,711,2646,1876,689,2020-04
244,23537,927,648,2278,8996,7503,630,864,954,1452,1226,4429,2138,1137,2020-05
245,29569,1143,819,3430,10779,8354,1052,1373,1243,1726,1558,5466,2782,1442,2020-06
246,31869,1270,910,3643,11951,8798,1123,2031,1266,1765,1606,5538,3011,1820,2020-07
247,35736,1420,1000,4026,13047,9643,1207,2196,1360,2064,1903,6548,3374,1995,2020-08
248,34236,1244,867,3825,12185,8942,1192,2051,1453,2263,1930,6328,3163,1845,2020-09
249,32998,1301,878,3776,11315,8263,1145,1908,1358,2093,1928,6184,3324,1718,2020-10
250,33358,1340,913,3796,11759,8926,1057,1776,1367,2119,1918,6040,3335,1686,2020-11
251,34152,1455,940,3817,11945,9162,1179,1603,1380,2214,2044,6286,3227,1784,2020-12
252,34830,1345,944,3808,12701,9695,1205,1802,1440,2343,2072,6213,3150,1757,2021-01
253,33555,1222,947,3716,11549,8702,1232,1614,1380,2318,2011,6210,3370,1780,2021-02
254,33614,1312,886,3844,11381,8411,1347,1623,1403,2359,2072,6139,3345,1760,2021-03
255,33988,1356,969,3820,11186,8217,1332,1637,1444,2470,2049,6393,3499,1770,2021-04
256,37844,1793,1016,3893,12338,8976,1430,1932,1551,2641,2442,7634,3484,2066,2021-05
257,36695,1848,1053,4051,11665,8173,1517,1975,1465,2608,2238,7155,3667,1998,2021-06
258,34129,1755,930,3737,10725,7367,1436,1921,1439,2466,2215,6187,3647,1958,2021-07
259,33130,1816,938,3684,10256,6865,1521,1870,1346,2325,2145,6248,3426,1884,2021-08
260,32768,1506,930,3709,10078,6734,1512,1832,1355,2439,2130,6288,3385,1879,2021-09
261,33852,1750,953,3814,10031,6791,1344,1897,1432,2551,2187,6628,3443,2016,2021-10
262,34005,1837,975,3799,10003,6732,1382,1889,1439,2567,2241,6702,3437,1981,2021-11
263,33761,1786,1008,3862,9770,6459,1353,1958,1422,2602,2197,6488,3669,1964,2021-12
264,34364,1803,956,3820,9768,6601,1235,1933,1540,2628,2184,6745,3752,2122,2022-01
265,33928,1862,961,3818,9668,6435,1210,2023,1408,2670,2201,6514,3702,2085,2022-02
266,34318,1778,981,3933,9565,6278,1239,2049,1454,2695,2381,6714,3703,2095,2022-03
267,33911,1801,946,3755,9388,6210,1226,1951,1450,2677,2328,6725,3583,2205,2022-04
268,32261,1703,918,3511,8534,5529,1227,1778,1411,2565,2230,6731,3528,2048,2022-05
269,34180,2299,946,3659,9249,6209,1221,1819,1464,2599,2321,6860,3628,2100,2022-06
270,35067,2470,956,3777,9528,6316,1354,1858,1482,2670,2275,7096,3658,2112,2022-07
271,34791,2785,925,3765,9057,6043,1215,1800,1494,2505,2233,7310,3465,2177,2022-08
272,35492,2506,1045,3863,9249,6111,1175,1962,1637,2640,2255,7364,3754,2225,2022-09
273,34449,2204,951,3814,9146,5968,1232,1946,1474,2634,2260,7117,3607,2194,2022-10
274,34959,2326,912,3819,8984,5709,1241,2034,1530,2731,2260,7180,3761,2369,2022-11
275,35151,2480,846,3848,9016,5737,1256,2023,1555,2571,2214,7765,3448,2256,2022-12
276,32404,1537,809,3718,8493,5327,1260,1905,1459,2478,1768,7414,3546,1991,2023-01
